Time,Altitude,Total Velocity,Total Acceleration,Mach Number,Air Pressure,Local Speed of Sound
0,0,0,8.3603,0.010707,855.98,334.87
0.01,0,0,5.9274,0.010741,855.98,334.87
0.02,0,0,4.1584,0.010774,855.98,334.87
0.03,0,0,2.4088,0.010808,855.98,334.87
0.04,0,0,0.6588,0.010841,855.98,334.87
0.05,0,0,1.0917,0.010875,855.98,334.87
0.06,1.7824e-4,0.010927,2.8425,0.010913,855.98,334.87
0.07,9.9869e-4,0.039365,4.5938,0.010958,855.98,334.87
0.08,0.0030328,0.085318,6.3455,0.01101,855.98,334.87
0.09,0.006852,0.14879,8.0977,0.011071,855.98,334.87
0.1,0.013028,0.22978,9.8502,0.011143,855.98,334.87
0.11,0.022133,0.32831,11.603,0.011157,855.98,334.87
0.12,0.034738,0.44436,13.357,0.01119,855.97,334.87
0.13,0.051417,0.57795,15.11,0.011247,855.97,334.87
0.14,0.07274,0.72908,16.865,0.011333,855.97,334.87
0.15,0.09928,0.89775,18.619,0.011453,855.97,334.87
0.16,0.13161,1.084,20.374,0.011595,855.97,334.87
0.17,0.1703,1.2877,22.13,0.011784,855.97,334.87
0.18,0.21593,1.5091,23.886,0.012025,855.97,334.87
0.19,0.26907,1.748,25.642,0.012323,855.97,334.87
0.2,0.33029,2.1944,27.399,0.012683,855.97,334.87
0.21,0.40016,2.2785,29.156,0.01323,855.96,334.87
0.22,0.47926,2.57,30.913,0.013839,855.96,334.87
0.23,0.56816,2.8792,32.671,0.014512,855.96,334.87
0.24,0.66744,3.206,34.43,0.015249,855.95,334.87
0.25,0.77766,3.5503,36.188,0.016051,855.95,334.87
0.26,0.89941,3.9122,37.947,0.016837,855.95,334.87
0.27,1.0332,4.2918,39.707,0.017695,855.94,334.86
0.28,1.1798,4.6889,41.466,0.018625,855.94,334.86
0.29,1.3395,5.1036,43.227,0.019626,855.93,334.86
0.3,1.5131,5.5359,44.987,0.020697,855.93,334.86
0.31,1.7011,5.9858,46.748,0.021847,855.92,334.86
0.32,1.904,6.4534,48.51,0.023064,855.91,334.86
0.33,2.1225,6.9385,50.271,0.024347,855.91,334.86
0.34,2.3571,7.4413,52.033,0.025695,855.9,334.86
0.35,2.6084,7.9617,53.796,0.027108,855.89,334.86
0.36,2.8769,8.4997,55.559,0.02859,855.88,334.86
0.37,3.1633,9.0553,57.322,0.030134,855.87,334.86
0.38,3.4681,9.6286,59.085,0.03174,855.86,334.86
0.39,3.7919,10.22,60.849,0.033406,855.85,334.86
0.4,4.1353,10.828,62.605,0.035131,855.84,334.86
0.41,4.4988,11.454,63.292,0.036977,855.83,334.86
0.42,4.8829,12.087,63.248,0.038847,855.82,334.86
0.43,5.2876,12.72,63.208,0.04072,855.8,334.86
0.44,5.713,13.352,63.168,0.042595,855.79,334.86
0.45,6.1589,13.984,63.127,0.044472,855.78,334.86
0.46,6.6255,14.615,63.087,0.046273,855.76,334.86
0.47,7.1127,15.246,63.047,0.048079,855.75,334.86
0.48,7.6204,15.877,63.006,0.049888,855.73,334.86
0.49,8.1488,16.507,62.966,0.051702,855.71,334.86
0.5,8.6976,17.137,62.925,0.053518,855.69,334.86
0.51,9.2671,17.766,62.884,0.055371,855.68,334.85
0.52,9.857,18.395,62.844,0.057224,855.66,334.85
0.53,10.467,19.024,62.803,0.059078,855.64,334.85
0.54,11.098,19.652,62.762,0.060933,855.62,334.85
0.55,11.75,20.28,62.721,0.062788,855.59,334.85
0.56,12.422,20.907,62.68,0.064579,855.57,334.85
0.57,13.114,21.534,62.639,0.066373,855.55,334.85
0.58,13.827,22.16,62.598,0.06817,855.53,334.85
0.59,14.56,22.786,62.558,0.069968,855.5,334.85
0.6,15.314,23.412,62.517,0.071769,855.48,334.85
0.61,16.088,24.037,62.476,0.073574,855.45,334.85
0.62,16.883,24.662,62.434,0.07538,855.43,334.85
0.63,17.698,25.287,62.393,0.077187,855.4,334.84
0.64,18.533,25.911,62.352,0.078996,855.38,334.84
0.65,19.388,26.535,62.311,0.080805,855.35,334.84
0.66,20.264,27.158,62.269,0.082644,855.32,334.84
0.67,21.161,27.781,62.228,0.084483,855.29,334.84
