Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,4.27436E-05,965.20,0,89.78,-,9.062621
0.05,8.519119,964.90,8.095238,89.78,-,9.062621
0.10,17.04207,964.60,16.19048,89.78,-,9.062621
0.15,22.72293,964.40,21.61905,89.78,-,9.062621
0.20,28.40646,964.20,27.04762,89.78,-,9.062621
0.25,34.09096,964.00,32.47619,89.78,-,9.062621
0.30,39.77641,963.80,37.90476,89.78,-,9.062621
0.35,45.46281,963.60,43.33333,89.78,-,9.062621
0.40,53.99334,963.30,51.47619,89.78,-,9.062621
0.45,62.52602,963.00,59.61905,89.78,-,9.062621
0.50,68.21626,962.80,65.04762,89.78,-,9.062621
0.55,73.90744,962.60,70.47619,89.78,-,9.062621
0.60,82.44514,962.30,78.61905,89.78,-,9.062621
0.65,93.83153,961.90,89.47619,89.78,-,9.062621
0.70,102.376,961.60,97.61905,89.78,-,9.062621
0.75,110.9209,961.30,105.7619,89.78,-,9.062621
0.80,119.468,961.00,113.9048,89.78,-,9.062621
0.85,136.5685,960.40,130.1905,89.78,-,9.062621
0.90,145.1238,960.10,138.3333,89.78,-,9.062621
0.95,153.6795,959.80,146.4762,89.78,-,9.062621
1.00,159.3851,959.60,151.9048,89.78,-,9.062621
01.05,173.6524,959.10,165.4762,89.78,-,9.062621
1.10,185.0696,958.70,168.2381,89.78,-,9.062621
1.15,196.4923,958.30,171,89.78,-,9.062621
1.20,207.9172,957.90,176.4286,89.78,-,9.062621
1.25,219.3476,957.50,181.9048,89.78,-,9.062621
1.30,233.6403,957.00,190.0952,89.78,-,9.062621
1.35,247.939,956.50,198.2857,89.78,-,9.062621
1.40,262.2437,956.00,206.4762,89.78,-,9.062621
1.45,279.4167,955.40,214.6667,89.78,-,9.062621
1.50,290.8714,955.00,217.4286,89.96,-,9.082069
1.55,305.1944,954.50,225.619,89.96,-,9.082069
1.60,316.6578,954.10,231.0952,89.96,-,9.082069
1.65,333.8585,953.50,239.3333,89.96,-,9.082069
1.70,348.1997,953.00,242.1429,89.96,-,9.082069
1.75,362.547,952.50,247.6667,89.96,-,9.082069
1.80,379.7711,951.90,255.9048,89.96,-,9.082069
1.85,394.1318,951.40,261.4286,89.96,-,9.082069
1.90,405.6255,951.00,256.0952,89.96,-,9.082069
1.95,422.8716,950.40,264.381,89.96,-,9.082069
2.00,437.2506,949.90,269.9524,89.96,-,9.082069
02.05,454.5146,949.30,280.9524,89.96,-,9.082069
2.10,471.7858,948.70,283.8095,89.96,-,9.082069
2.15,489.0675,948.10,289.4286,89.96,-,9.082069
2.20,506.3563,947.50,295.0476,89.96,-,9.082069
2.25,526.5389,946.80,303.4286,89.96,-,9.082069
2.30,540.9623,946.30,306.2381,89.96,-,9.082069
2.35,561.1656,945.60,311.8571,89.96,-,9.082069
2.40,578.4915,945.00,314.7619,89.96,-,9.082069
2.45,598.7174,944.30,320.4286,89.96,-,9.082069
2.50,616.0625,943.70,320.619,89.96,-,9.082069
2.55,636.311,943.00,329,89.96,-,9.062621
2.60,653.6755,942.40,331.9048,89.96,-,9.062621
2.65,673.9466,941.70,340.2857,89.96,-,9.062621
2.70,694.2299,941.00,343.2381,89.96,-,9.062621
2.75,714.5254,940.30,348.9048,89.96,-,9.062621
2.80,731.9303,939.70,351.8095,89.96,-,9.062621
2.85,758.0562,938.80,360.3333,89.96,-,9.062621
2.90,775.4836,938.20,363.2857,89.96,-,9.062621
2.95,798.7348,937.40,374.4762,89.96,-,9.062621
3.00,822.0038,936.60,380.1905,89.96,-,9.062621
03.05,848.1981,935.70,391.4286,89.96,-,9.062621
3.10,868.5867,935.00,394.4286,89.96,-,9.062621
3.15,894.819,934.10,403,89.96,-,9.062621
3.20,918.1528,933.30,408.7619,89.96,-,9.062621
3.25,944.422,932.40,417.2857,89.96,-,9.062621
3.30,967.7921,931.60,420.2857,89.96,-,9.062621
3.35,994.1001,930.70,431.619,89.96,-,9.062621
3.40,1011.652,930.10,429.0952,89.96,-,9.062621
3.45,1040.924,929.10,440.4286,89.96,-,9.062621
3.50,1061.428,928.40,440.6667,89.96,-,9.062621
3.55,1090.743,927.40,452.0476,89.96,-,9.062621
3.60,1114.215,926.60,455.0952,89.96,-,9.062621
3.65,1137.702,925.80,460.9524,89.96,-,9.062621
3.70,1161.205,925.00,464.0476,89.96,-,9.062621
3.75,1190.608,924.00,472.7143,89.96,-,9.062621
3.80,1211.205,923.30,473,89.96,-,9.062621
3.85,1234.76,922.50,478.8571,89.96,-,9.062621
3.90,1261.28,921.60,479.1905,89.96,-,9.062621
3.95,1281.919,920.90,482.2381,89.96,-,9.062621
4.00,1302.572,920.20,479.7619,89.96,-,9.062621
04.05,1329.146,919.30,482.9048,89.96,-,9.062621
4.10,1352.783,918.50,480.4762,89.96,-,9.062621
4.15,1379.397,917.60,486.381,89.96,-,9.062621
4.20,1403.07,916.80,483.9048,89.96,-,9.062621
4.25,1429.722,915.90,487.0476,89.96,-,9.062621
4.30,1453.432,915.10,484.619,89.96,-,9.062621
